mnemonic,description
GBALIR_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Cash, US Dollars"
GBALIR_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALIR_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALIR_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLIR_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLIR_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLIR_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLIR_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLIR_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLIR_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Insurance Technical Reserves, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALLS_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Cash, US Dollars"
GBALLS_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALLS_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALLS_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLLS_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLLS_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLLS_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLLS_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLLS_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLLS_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Loans, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLIAF_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, Euros"
GBADLIAF_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, National Currency"
GBADLIAF_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Net Incurrence of Foreign Liabilities, Adjustment, Noncash, US Dollars"
GBALO_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Cash, US Dollars"
GBALO_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALO_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALO_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLO_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLO_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLO_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Other Accounts Payable, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALSO_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Cash, US Dollars"
GBALSO_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALSO_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALSO_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLSO_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLSO_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLSO_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLSO_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLSO_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLSO_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Securities Other than Shares, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALAE_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Cash, US Dollars"
GBALAE_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALAE_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALAE_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADLAE_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLAE_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLAE_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLAE_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLAE_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLAE_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Shares and Other Equity, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALSDR_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Cash, US Dollars"
GBADLSDR_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADLSDR_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADLSDR_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
GBADLSDR_T_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, Euros"
GBADLSDR_T_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, National Currency"
GBADLSDR_T_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Classification of transactions in assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBALSDR_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Noncash, Euros"
GBALSDR_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Noncash, National Currency"
GBALSDR_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Liabilities, Special Drawing Rights, Noncash, US Dollars"
GBADAFXD_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Net Acquisition of Financial Assets Other than Cash, Domestic, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, US dollar"
GBADAFXF_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Net Acquisition of Financial Assets Other than Cash, Foreign, Classification of the stocks of assets and liabilities, 2001 Manual, Cash, US dollar"
GBALW_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Net Financial Worth, Cash, US Dollars"
GBALW_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBALW_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBALW_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Net Financial Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBANW_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBANW_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBANW_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Net Worth, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBAAN_G01_AC_EUR,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, Euros"
GBAAN_G01_AC_XDC,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, National Currency"
GBAAN_G01_AC_USD,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of the stocks of assets and liabilities, 2001 Manual, Noncash, US Dollars"
GBADAN_T_G01_CA_EUR,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Cash, Euros"
GBADAN_T_G01_CA_XDC,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Cash, National Currency"
GBADAN_T_G01_CA_USD,"Budgetary Central Government, Assets and Liabilities, Non-financial Assets, Classification of transactions in assets and liabilities, 2001 Manual, Cash, US dollar"
